OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,TotalAmount,PaymentID,ShippingID,OrderStatus
1,2653,486,2024-10-28,2,26075,52150,1,1,Delivered
2,4775,30,2023-02-08,5,14270,71350,2,2,Delivered
3,744,283,2025-04-26,4,4073,16292,3,3,Delivered
4,507,296,2023-02-20,5,26196,130980,4,4,Cancelled
5,2373,215,2023-05-01,2,35634,71268,5,5,Delivered
6,845,298,2023-07-12,5,42071,210355,6,6,Delivered
7,4624,31,2024-05-23,5,13697,68485,7,7,Delivered
8,4797,473,2023-11-03,4,23896,95584,8,8,Delivered
9,671,295,2024-05-21,3,34619,103857,9,9,Shipped
10,4989,38,2024-03-04,1,33750,33750,10,10,Delivered
11,3455,21,2024-08-09,1,36774,36774,11,11,Delivered
12,4870,255,2023-03-12,5,30097,150485,12,12,Shipped
13,498,375,2024-08-14,3,42610,127830,13,13,Cancelled
14,2843,12,2023-06-22,4,23495,93980,14,14,Delivered
15,2355,67,2024-02-05,2,26276,52552,15,15,Shipped
16,3680,206,2023-05-21,5,18408,92040,16,16,Shipped
17,2940,350,2023-06-04,4,15322,61288,17,17,Delivered
18,99,249,2023-09-27,5,12150,60750,18,18,Delivered
19,3025,313,2023-05-09,5,21080,105400,19,19,Delivered
20,3741,461,2024-02-12,5,25914,129570,20,20,Delivered
21,510,98,2024-03-27,1,13881,13881,21,21,Delivered
22,839,1,2024-07-03,5,10113,50565,22,22,Delivered
23,577,448,2024-01-21,2,40443,80886,23,23,Delivered
24,2984,243,2025-05-19,1,7759,7759,24,24,Delivered
25,2555,44,2025-02-06,2,6896,13792,25,25,Delivered
26,4230,12,2024-01-06,2,34819,69638,26,26,Delivered
27,2442,330,2025-05-15,1,45825,45825,27,27,Delivered
28,1826,273,2023-12-04,5,33144,165720,28,28,Delivered
29,3283,379,2024-06-14,2,13301,26602,29,29,Delivered
30,2289,242,2024-12-10,3,12890,38670,30,30,Delivered
31,2988,42,2023-08-21,2,6894,13788,31,31,Delivered
32,5000,431,2024-10-30,1,31622,31622,32,32,Delivered
33,3183,401,2023-07-02,2,31528,63056,33,33,Delivered
34,3243,238,2023-03-28,4,48916,195664,34,34,Delivered
35,1239,303,2023-05-30,4,43182,172728,35,35,Delivered
36,1278,281,2023-01-22,5,8784,43920,36,36,Delivered
37,4314,384,2025-06-11,2,28630,57260,37,37,Delivered
38,1744,150,2025-02-21,5,15963,79815,38,38,Delivered
39,1074,32,2024-11-09,3,30226,90678,39,39,Delivered
40,1072,273,2024-06-06,2,34508,69016,40,40,Delivered
41,33,398,2023-05-25,2,11494,22988,41,41,Delivered
42,506,167,2024-07-22,5,34981,174905,42,42,Delivered
43,2036,98,2025-03-01,3,2965,8895,43,43,Delivered
44,520,227,2024-06-01,3,40342,121026,44,44,Delivered
45,3706,261,2024-06-03,5,31528,157640,45,45,Shipped
46,4584,458,2023-05-21,2,29529,59058,46,46,Delivered
47,595,344,2023-03-16,2,28271,56542,47,47,Delivered
48,3000,74,2024-04-23,3,9195,27585,48,48,Delivered
49,1334,342,2024-12-24,2,10781,21562,49,49,Delivered
50,3452,101,2023-04-05,3,21074,63222,50,50,Delivered
51,3758,226,2023-12-06,1,25388,25388,51,51,Delivered
52,925,471,2023-03-28,2,7066,14132,52,52,Delivered
53,1062,420,2025-04-18,4,44500,178000,53,53,Shipped
54,4218,293,2023-12-01,4,46102,184408,54,54,Delivered
55,3485,459,2023-01-18,1,17824,17824,55,55,Delivered
56,1822,35,2024-04-09,3,8174,24522,56,56,Delivered
57,1059,23,2023-09-02,5,46700,233500,57,57,Shipped
