PaymentID,OrderID,PaymentMethod,PaymentStatus,PaymentDate
1,1,Net Banking,Completed,2024-10-28
2,2,COD,Completed,2023-02-08
3,3,Credit Card,Completed,2025-04-26
4,4,UPI,Refunded,2023-02-20
5,5,Net Banking,Completed,2023-05-01
6,6,Net Banking,Completed,2023-07-12
7,7,COD,Completed,2024-05-23
8,8,Credit Card,Completed,2023-11-03
9,9,Wallet,Completed,2024-05-21
10,10,Debit Card,Completed,2024-03-04
11,11,Debit Card,Completed,2024-08-09
12,12,Debit Card,Completed,2023-03-12
13,13,COD,Refunded,2024-08-14
14,14,COD,Completed,2023-06-22
15,15,COD,Completed,2024-02-05
16,16,Net Banking,Completed,2023-05-21
17,17,Credit Card,Completed,2023-06-04
18,18,Credit Card,Completed,2023-09-27
19,19,Net Banking,Completed,2023-05-09
20,20,UPI,Completed,2024-02-12
21,21,Debit Card,Completed,2024-03-27
22,22,Debit Card,Completed,2024-07-03
23,23,Debit Card,Completed,2024-01-21
24,24,COD,Completed,2025-05-19
25,25,Debit Card,Completed,2025-02-06
26,26,Net Banking,Completed,2024-01-06
27,27,Debit Card,Completed,2025-05-15
28,28,Net Banking,Completed,2023-12-04
29,29,Wallet,Completed,2024-06-14
30,30,Debit Card,Completed,2024-12-10
31,31,Debit Card,Completed,2023-08-21
32,32,Wallet,Completed,2024-10-30
33,33,Wallet,Completed,2023-07-02
34,34,Credit Card,Completed,2023-03-28
35,35,Net Banking,Completed,2023-05-30
36,36,Wallet,Completed,2023-01-22
37,37,Credit Card,Completed,2025-06-11
38,38,Debit Card,Completed,2025-02-21
39,39,Net Banking,Completed,2024-11-09
40,40,COD,Completed,2024-06-06
41,41,Wallet,Completed,2023-05-25
42,42,UPI,Completed,2024-07-22
43,43,COD,Completed,2025-03-01
44,44,Credit Card,Completed,2024-06-01
45,45,Wallet,Completed,2024-06-03
46,46,COD,Completed,2023-05-21
47,47,Debit Card,Completed,2023-03-16
48,48,UPI,Completed,2024-04-23
49,49,Net Banking,Completed,2024-12-24
50,50,UPI,Completed,2023-04-05
51,51,Debit Card,Completed,2023-12-06
52,52,UPI,Completed,2023-03-28
53,53,COD,Completed,2025-04-18
54,54,UPI,Completed,2023-12-01
55,55,Debit Card,Completed,2023-01-18
56,56,Net Banking,Completed,2024-04-09
57,57,Credit Card,Completed,2023-09-02
58,58,Credit Card,Completed,2023-11-09
59,59,Debit Card,Completed,2023-12-22
60,60,Credit Card,Completed,2023-07-14
61,61,Net Banking,Completed,2025-05-04
62,62,COD,Completed,2025-01-16
63,63,COD,Completed,2025-01-28
64,64,Net Banking,Refunded,2024-11-17
65,65,Debit Card,Completed,2023-10-03
66,66,Credit Card,Completed,2023-11-13
67,67,Credit Card,Completed,2024-05-29
68,68,COD,Completed,2024-02-14
69,69,Credit Card,Refunded,2024-08-22
70,70,Wallet,Completed,2024-05-21
71,71,Net Banking,Completed,2024-03-15
72,72,Wallet,Completed,2024-08-21
73,73,UPI,Completed,2024-10-14
74,74,COD,Completed,2024-06-28
75,75,UPI,Completed,2024-05-30
76,76,Debit Card,Completed,2025-04-08
77,77,COD,Completed,2025-05-15
78,78,Debit Card,Completed,2024-09-06
79,79,Wallet,Completed,2023-03-04
80,80,UPI,Completed,2024-04-20
81,81,Net Banking,Completed,2023-10-24
82,82,Wallet,Completed,2024-08-18
83,83,UPI,Completed,2024-06-04
84,84,COD,Completed,2023-01-26
85,85,UPI,Completed,2023-12-19
86,86,Credit Card,Completed,2023-05-03
87,87,Net Banking,Completed,2024-02-07
88,88,Wallet,Completed,2023-10-15
89,89,Debit Card,Completed,2024-06-07
90,90,UPI,Completed,2023-07-28
91,91,UPI,Completed,2025-06-09
92,92,Wallet,Completed,2023-10-16
93,93,COD,Completed,2024-05-09
94,94,Credit Card,Completed,2025-04-11
95,95,Credit Card,Completed,2023-07-17
96,96,Credit Card,Completed,2023-09-22
97,97,UPI,Completed,2024-01-21
98,98,Wallet,Completed,2024-12-04
99,99,COD,Completed,2024-02-14
100,100,COD,Completed,2025-02-21
101,101,COD,Completed,2025-05-25
102,102,Wallet,Completed,2024-11-29
103,103,Net Banking,Completed,2025-03-12
104,104,UPI,Completed,2024-10-13
105,105,Net Banking,Completed,2024-02-02
106,106,Credit Card,Completed,2023-11-20
107,107,Debit Card,Completed,2024-02-26
108,108,COD,Completed,2023-09-21
109,109,COD,Completed,2024-03-06
110,110,Credit Card,Completed,2023-07-30
111,111,UPI,Completed,2025-02-17
112,112,UPI,Completed,2024-03-03
113,113,UPI,Completed,2024-09-02
114,114,UPI,Completed,2023-11-18
115,115,Wallet,Completed,2024-04-23
116,116,Debit Card,Completed,2023-04-22
117,117,Debit Card,Completed,2025-02-16
118,118,COD,Completed,2024-01-17
119,119,Wallet,Completed,2024-10-08
120,120,Debit Card,Completed,2025-04-02
121,121,Net Banking,Refunded,2023-12-10
122,122,Net Banking,Completed,2023-01-04
123,123,COD,Completed,2024-05-01
124,124,Wallet,Completed,2024-05-23
125,125,Net Banking,Completed,2024-04-16
126,126,UPI,Completed,2024-02-22
127,127,Debit Card,Refunded,2023-04-18
128,128,Credit Card,Refunded,2024-12-27
129,129,Wallet,Completed,2023-08-29
130,130,Debit Card,Completed,2024-01-17
131,131,Net Banking,Completed,2023-06-07
132,132,Wallet,Completed,2024-06-03
133,133,COD,Completed,2025-04-18
134,134,Net Banking,Completed,2023-07-14
135,135,Wallet,Completed,2024-09-09
136,136,Debit Card,Completed,2023-08-11
137,137,Credit Card,Completed,2025-01-19
138,138,Credit Card,Completed,2024-09-27
139,139,Wallet,Completed,2023-04-14
140,140,Debit Card,Completed,2024-12-13
141,141,Debit Card,Completed,2025-02-02
142,142,COD,Completed,2023-07-21
143,143,COD,Completed,2023-04-27
144,144,Credit Card,Completed,2023-01-16
145,145,Credit Card,Completed,2025-01-24
146,146,Credit Card,Completed,2023-04-22
147,147,Wallet,Completed,2023-02-24
148,148,Credit Card,Completed,2024-02-19
149,149,Debit Card,Completed,2024-06-14
150,150,Wallet,Completed,2024-07-29
151,151,Debit Card,Completed,2024-07-17
152,152,COD,Completed,2024-02-03
153,153,COD,Completed,2024-05-16
154,154,Debit Card,Completed,2023-04-20
155,155,UPI,Completed,2024-06-06
156,156,Net Banking,Completed,2024-06-07
157,157,UPI,Completed,2025-01-19
158,158,Credit Card,Completed,2025-03-18
159,159,COD,Completed,2023-10-09
160,160,Net Banking,Completed,2024-08-29
161,161,Debit Card,Completed,2024-02-18
162,162,Wallet,Completed,2025-02-25
163,163,Net Banking,Completed,2023-04-18
164,164,Debit Card,Completed,2024-08-14
165,165,Net Banking,Completed,2023-02-19
166,166,Credit Card,Completed,2023-01-02
167,167,Credit Card,Completed,2023-02-18
168,168,Net Banking,Completed,2023-12-30
169,169,Debit Card,Completed,2024-08-26
170,170,UPI,Completed,2024-12-25
171,171,Net Banking,Completed,2023-02-27
172,172,Credit Card,Completed,2025-01-21
173,173,UPI,Completed,2023-07-10
174,174,Net Banking,Completed,2024-02-28
175,175,Debit Card,Completed,2024-06-04
176,176,Wallet,Completed,2024-01-20
177,177,UPI,Completed,2023-09-25
178,178,COD,Completed,2024-10-13
179,179,Debit Card,Completed,2024-06-03
180,180,Credit Card,Completed,2024-02-03
181,181,COD,Completed,2023-01-07
182,182,UPI,Completed,2024-02-05
183,183,Credit Card,Completed,2023-04-20
184,184,UPI,Completed,2024-12-10
185,185,Net Banking,Completed,2023-07-24
186,186,UPI,Completed,2023-07-28
187,187,Wallet,Completed,2023-04-11
188,188,Debit Card,Completed,2023-01-22
189,189,Net Banking,Completed,2024-05-02
190,190,COD,Completed,2025-03-02
191,191,Net Banking,Completed,2025-06-01
192,192,UPI,Completed,2023-10-23
193,193,COD,Completed,2025-03-26
194,194,Wallet,Completed,2023-10-18
195,195,Net Banking,Refunded,2025-03-17
196,196,Wallet,Completed,2025-02-02
197,197,COD,Completed,2024-07-12
198,198,Net Banking,Completed,2025-02-11
199,199,COD,Completed,2023-06-09
200,200,Net Banking,Completed,2024-12-06
201,201,Wallet,Completed,2023-07-16
202,202,Debit Card,Completed,2023-12-01
203,203,Credit Card,Refunded,2025-01-16
204,204,Debit Card,Completed,2025-03-24
205,205,COD,Completed,2023-07-31
206,206,Wallet,Completed,2023-08-16
207,207,Wallet,Completed,2025-01-25
208,208,Wallet,Completed,2024-11-14
209,209,Debit Card,Completed,2023-05-08
210,210,Debit Card,Completed,2024-12-30
211,211,Credit Card,Completed,2024-06-14
212,212,Credit Card,Completed,2023-02-09
213,213,Wallet,Completed,2024-04-12
214,214,COD,Completed,2023-12-18
215,215,UPI,Completed,2024-09-20
216,216,COD,Completed,2023-03-18
217,217,Net Banking,Completed,2023-11-07
218,218,Wallet,Completed,2025-03-06
219,219,COD,Completed,2023-12-28
220,220,Credit Card,Completed,2023-12-30
221,221,Debit Card,Completed,2023-01-03
222,222,UPI,Completed,2024-03-14
223,223,Net Banking,Completed,2023-02-28
224,224,UPI,Completed,2024-08-19
225,225,Credit Card,Completed,2024-08-15
226,226,Credit Card,Completed,2024-02-17
227,227,COD,Completed,2025-05-08
228,228,Debit Card,Completed,2023-04-30
229,229,Credit Card,Completed,2023-03-01
