ReturnID,OrderID,ReturnReason,ReturnDate,RefundStatus
1,7947,Late Delivery,2023-09-26,Pending
2,7494,Quality Issue,2025-05-03,Refunded
3,6545,Wrong Item,2023-03-14,Refunded
4,5215,Quality Issue,2023-08-12,Pending
5,16142,Size Issue,2025-06-09,Refunded
6,9511,Damaged Product,2024-07-10,Rejected
7,5579,Damaged Product,2023-06-26,Refunded
8,9029,Size Issue,2023-03-21,Refunded
9,2963,Wrong Item,2024-01-20,Pending
10,6444,Wrong Item,2023-04-10,Pending
11,4111,Late Delivery,2025-01-05,Refunded
12,11376,Changed Mind,2023-10-26,Refunded
13,19484,Changed Mind,2024-06-14,Refunded
14,2860,Changed Mind,2023-07-10,Rejected
15,18507,Quality Issue,2024-11-05,Pending
16,7762,Late Delivery,2023-12-30,Refunded
17,13165,Damaged Product,2023-12-05,Rejected
18,7622,Changed Mind,2023-08-11,Pending
19,11984,Changed Mind,2023-04-25,Refunded
20,3902,Quality Issue,2024-07-12,Rejected
21,3516,Late Delivery,2024-08-02,Pending
22,4820,Changed Mind,2025-04-27,Pending
23,1320,Quality Issue,2024-04-09,Refunded
24,19786,Damaged Product,2023-09-24,Refunded
25,6898,Quality Issue,2023-03-12,Rejected
26,14433,Late Delivery,2023-05-05,Pending
27,3750,Size Issue,2024-02-27,Rejected
28,8973,Damaged Product,2025-05-05,Pending
29,17556,Quality Issue,2023-04-30,Refunded
30,15384,Changed Mind,2024-10-30,Rejected
31,7837,Wrong Item,2023-04-15,Pending
32,2769,Late Delivery,2023-08-23,Pending
33,15763,Damaged Product,2023-04-03,Pending
34,19777,Size Issue,2023-06-10,Pending
35,11369,Changed Mind,2024-11-22,Rejected
36,10361,Changed Mind,2023-10-11,Rejected
37,2606,Wrong Item,2025-04-08,Rejected
38,18070,Late Delivery,2024-01-11,Refunded
39,18515,Size Issue,2023-08-18,Pending
40,16864,Late Delivery,2025-04-05,Pending
41,4027,Damaged Product,2024-02-06,Refunded
42,3057,Wrong Item,2025-03-07,Rejected
43,9363,Changed Mind,2023-07-07,Refunded
44,6200,Quality Issue,2025-05-01,Rejected
