ShippingID,OrderID,CourierPartner,DispatchDate,DeliveryDate,DeliveryStatus
1,1,DTDC,2024-10-29,2024-10-31,Delivered
2,2,Blue Dart,2023-02-09,2023-02-11,Delivered
3,3,India Post,2025-04-27,2025-05-04,Delivered
4,4,Blue Dart,2023-02-21,2023-02-27,Cancelled
5,5,Blue Dart,2023-05-02,2023-05-09,Delivered
6,6,Delhivery,2023-07-13,2023-07-20,Delivered
7,7,Ecom Express,2024-05-24,2024-05-28,Delivered
8,8,Blue Dart,2023-11-04,2023-11-11,Delivered
9,9,DTDC,2024-05-22,2024-05-27,Shipped
10,10,Ecom Express,2024-03-05,2024-03-08,Delivered
11,11,DTDC,2024-08-10,2024-08-14,Delivered
12,12,Delhivery,2023-03-13,2023-03-18,Shipped
13,13,Ecom Express,2024-08-15,2024-08-19,Cancelled
14,14,Blue Dart,2023-06-23,2023-06-25,Delivered
15,15,Blue Dart,2024-02-06,2024-02-08,Shipped
16,16,Ecom Express,2023-05-22,2023-05-26,Shipped
17,17,Blue Dart,2023-06-05,2023-06-08,Delivered
18,18,India Post,2023-09-28,2023-10-03,Delivered
19,19,Delhivery,2023-05-10,2023-05-16,Delivered
20,20,Ecom Express,2024-02-13,2024-02-18,Delivered
21,21,Delhivery,2024-03-28,2024-04-03,Delivered
22,22,Delhivery,2024-07-04,2024-07-10,Delivered
23,23,India Post,2024-01-22,2024-01-26,Delivered
24,24,Ecom Express,2025-05-20,2025-05-25,Delivered
25,25,Blue Dart,2025-02-07,2025-02-12,Delivered
26,26,India Post,2024-01-07,2024-01-09,Delivered
27,27,DTDC,2025-05-16,2025-05-19,Delivered
28,28,Blue Dart,2023-12-05,2023-12-08,Delivered
29,29,Delhivery,2024-06-15,2024-06-17,Delivered
30,30,DTDC,2024-12-11,2024-12-16,Delivered
31,31,Ecom Express,2023-08-22,2023-08-25,Delivered
32,32,Delhivery,2024-10-31,2024-11-02,Delivered
33,33,Delhivery,2023-07-03,2023-07-07,Delivered
34,34,Delhivery,2023-03-29,2023-04-01,Delivered
35,35,DTDC,2023-05-31,2023-06-05,Delivered
36,36,Delhivery,2023-01-23,2023-01-30,Delivered
37,37,DTDC,2025-06-12,2025-06-14,Delivered
38,38,Ecom Express,2025-02-22,2025-02-28,Delivered
39,39,India Post,2024-11-10,2024-11-15,Delivered
40,40,India Post,2024-06-07,2024-06-10,Delivered
41,41,India Post,2023-05-26,2023-05-28,Delivered
42,42,Delhivery,2024-07-23,2024-07-29,Delivered
43,43,Delhivery,2025-03-02,2025-03-08,Delivered
44,44,DTDC,2024-06-02,2024-06-09,Delivered
45,45,DTDC,2024-06-04,2024-06-10,Shipped
46,46,DTDC,2023-05-22,2023-05-27,Delivered
47,47,Blue Dart,2023-03-17,2023-03-19,Delivered
48,48,Ecom Express,2024-04-24,2024-04-29,Delivered
49,49,DTDC,2024-12-25,2024-12-30,Delivered
50,50,India Post,2023-04-06,2023-04-10,Delivered
51,51,Delhivery,2023-12-07,2023-12-13,Delivered
52,52,DTDC,2023-03-29,2023-04-01,Delivered
53,53,India Post,2025-04-19,2025-04-22,Shipped
54,54,Blue Dart,2023-12-02,2023-12-09,Delivered
55,55,India Post,2023-01-19,2023-01-21,Delivered
56,56,DTDC,2024-04-10,2024-04-15,Delivered
57,57,Delhivery,2023-09-03,2023-09-07,Shipped
58,58,Ecom Express,2023-11-10,2023-11-14,Delivered
59,59,Delhivery,2023-12-23,2023-12-25,Shipped
60,60,Delhivery,2023-07-15,2023-07-20,Delivered
61,61,Blue Dart,2025-05-05,2025-05-09,Shipped
62,62,Delhivery,2025-01-17,2025-01-21,Delivered
63,63,Delhivery,2025-01-29,2025-02-01,Shipped
64,64,DTDC,2024-11-18,2024-11-21,Cancelled
65,65,DTDC,2023-10-04,2023-10-08,Delivered
66,66,DTDC,2023-11-14,2023-11-16,Delivered
67,67,Delhivery,2024-05-30,2024-06-05,Delivered
68,68,DTDC,2024-02-15,2024-02-17,Delivered
69,69,India Post,2024-08-23,2024-08-30,Cancelled
70,70,Blue Dart,2024-05-22,2024-05-28,Delivered
71,71,India Post,2024-03-16,2024-03-19,Delivered
72,72,Blue Dart,2024-08-22,2024-08-29,Delivered
73,73,Ecom Express,2024-10-15,2024-10-20,Delivered
74,74,Delhivery,2024-06-29,2024-07-03,Delivered
75,75,India Post,2024-05-31,2024-06-07,Shipped
76,76,Blue Dart,2025-04-09,2025-04-12,Delivered
77,77,DTDC,2025-05-16,2025-05-23,Delivered
78,78,DTDC,2024-09-07,2024-09-14,Delivered
79,79,Blue Dart,2023-03-05,2023-03-07,Delivered
80,80,Blue Dart,2024-04-21,2024-04-27,Delivered
81,81,DTDC,2023-10-25,2023-10-30,Delivered
82,82,DTDC,2024-08-19,2024-08-25,Delivered
83,83,DTDC,2024-06-05,2024-06-12,Delivered
84,84,Ecom Express,2023-01-27,2023-02-03,Delivered
85,85,Delhivery,2023-12-20,2023-12-24,Delivered
86,86,Delhivery,2023-05-04,2023-05-11,Shipped
87,87,DTDC,2024-02-08,2024-02-10,Delivered
88,88,Blue Dart,2023-10-16,2023-10-20,Delivered
89,89,Delhivery,2024-06-08,2024-06-13,Delivered
90,90,Ecom Express,2023-07-29,2023-08-05,Delivered
91,91,Blue Dart,2025-06-10,2025-06-16,Delivered
92,92,DTDC,2023-10-17,2023-10-24,Delivered
93,93,Blue Dart,2024-05-10,2024-05-12,Delivered
94,94,DTDC,2025-04-12,2025-04-17,Delivered
95,95,India Post,2023-07-18,2023-07-22,Delivered
96,96,Ecom Express,2023-09-23,2023-09-25,Shipped
97,97,DTDC,2024-01-22,2024-01-27,Delivered
98,98,Delhivery,2024-12-05,2024-12-08,Delivered
99,99,Delhivery,2024-02-15,2024-02-19,Delivered
100,100,Ecom Express,2025-02-22,2025-02-28,Shipped
101,101,Delhivery,2025-05-26,2025-05-29,Delivered
102,102,Ecom Express,2024-11-30,2024-12-07,Delivered
103,103,DTDC,2025-03-13,2025-03-15,Delivered
104,104,Delhivery,2024-10-14,2024-10-16,Delivered
105,105,Delhivery,2024-02-03,2024-02-05,Delivered
106,106,India Post,2023-11-21,2023-11-26,Delivered
107,107,Delhivery,2024-02-27,2024-02-29,Delivered
108,108,Blue Dart,2023-09-22,2023-09-26,Delivered
109,109,Delhivery,2024-03-07,2024-03-10,Delivered
110,110,Blue Dart,2023-07-31,2023-08-04,Delivered
111,111,Ecom Express,2025-02-18,2025-02-24,Shipped
112,112,Blue Dart,2024-03-04,2024-03-10,Shipped
113,113,Delhivery,2024-09-03,2024-09-10,Delivered
114,114,DTDC,2023-11-19,2023-11-22,Delivered
115,115,Ecom Express,2024-04-24,2024-05-01,Delivered
116,116,DTDC,2023-04-23,2023-04-25,Delivered
117,117,Ecom Express,2025-02-17,2025-02-21,Delivered
118,118,DTDC,2024-01-18,2024-01-21,Delivered
119,119,Delhivery,2024-10-09,2024-10-14,Delivered
120,120,Delhivery,2025-04-03,2025-04-06,Shipped
121,121,DTDC,2023-12-11,2023-12-13,Cancelled
122,122,Delhivery,2023-01-05,2023-01-12,Delivered
123,123,DTDC,2024-05-02,2024-05-07,Delivered
124,124,Blue Dart,2024-05-24,2024-05-28,Delivered
125,125,India Post,2024-04-17,2024-04-19,Delivered
126,126,India Post,2024-02-23,2024-02-28,Delivered
127,127,Delhivery,2023-04-19,2023-04-25,Cancelled
128,128,Blue Dart,2024-12-28,2024-12-31,Cancelled
129,129,DTDC,2023-08-30,2023-09-01,Delivered
130,130,Ecom Express,2024-01-18,2024-01-21,Delivered
131,131,DTDC,2023-06-08,2023-06-11,Delivered
132,132,Ecom Express,2024-06-04,2024-06-06,Delivered
133,133,Delhivery,2025-04-19,2025-04-23,Delivered
134,134,Delhivery,2023-07-15,2023-07-18,Delivered
